127:66:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,127:63:255,127:0:255,63:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,1:0:255,1:0:255,2:0:255,2:1:255,3:0:255,4:2:255,4:0:255,32:0:255,61:0:255,33:0:255,5:0:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:63:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:63:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:63:127,
0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:63:255,31:0:255,15:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:30:255,0:0:255,0:0:255,0:0:255,0:1:255,0:0:255,0:0:255,0:0:255,5:38:255,11:0:255,13:0:255,16:0:255,8:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,3:14:255,11:0:255,5:0:255,16:0:255,2:0:255,0:0:255,0:0:255,0:0:255,0:63:255,31:0:255,8:7:255,0:0:255,8:39:255,0:0:255,0:0:255,0:0:255,3:23:255,7:0:255,5:0:255,4:0:255,2:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,0:0:255,8:48:255,17:0:255,10:0:255,4:0:127,
0:0:255,0:16:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:63:223,31:223:255,63:71:223,35:63:191,0:15:223,0:0:255,0:0:223,0:0:191,0:37:223,0:119:255,0:46:223,0:0:191,0:1:223,0:7:255,0:1:223,0:0:191,0:34:223,12:104:255,25:41:223,28:0:191,32:0:223,16:0:255,0:0:223,0:0:191,0:8:223,0:136:255,0:15:223,0:0:191,0:0:223,0:7:255,0:0:223,0:0:191,0:13:223,12:104:255,15:21:223,28:0:191,8:0:223,16:0:255,0:0:223,0:0:191,0:55:223,27:223:255,223:86:223,43:223:191,32:49:223,0:156:255,0:39:223,0:0:191,0:31:223,7:93:255,15:39:223,11:0:191,8:0:223,4:0:255,0:0:223,0:0:191,0:8:223,0:0:255,0:15:223,0:0:191,0:0:223,0:0:255,0:0:223,0:0:191,0:56:223,17:195:255,34:64:223,21:0:191,8:63:159,
0:82:255,0:66:191,8:48:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,9:119:255,59:63:191,37:49:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,0:117:255,0:63:191,8:47:127,16:0:191,23:65:255,31:0:191,15:39:127,0:32:191,7:101:255,14:63:191,23:47:127,32:0:191,31:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,3:101:255,14:63:191,13:47:127,32:0:191,25:63:255,31:0:191,15:39:127,0:32:191,8:135:255,67:63:191,31:64:127,16:0:191,31:102:255,31:0:191,15:39:127,0:32:191,3:110:255,7:63:191,13:47:127,20:0:191,25:63:255,31:0:191,15:39:127,0:32:191,0:87:255,0:63:191,8:47:127,16:0:191,23:63:255,31:0:191,15:39:127,0:32:191,8:136:255,17:63:191,18:47:127,20:0:191,
0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,47:255:255,63:95:191,31:127:127,0:111:191,0:255:255,0:127:191,16:127:127,32:95:191,
